Observation Year,Standard Week,Pest Value,MaxT(°C),MinT(°C),RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),Location,Pest/Disease.1,Pest/Disease.2.1,Combo
1981,1,,24.5,9.8,75,39,1.4,0,6.5,15.3,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,2,,25.3,11.1,75,40,4.6,0,6.5,16,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,3,,25.8,11.8,76,40,2,0,6.6,17.2,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,4,,26.7,11.5,75,40,1.6,0,7.1,19,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,5,,28,12.2,76,37,1.8,0,8,20.4,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,6,,28.1,13,77,43,9.6,0,7.4,21.5,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,7,,29,14,76,41,3.9,0,8.2,23.2,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,8,,30.1,14.2,71,36,1.7,0,8.7,25.6,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,9,,31.9,15.2,68,33,2.3,0,8.6,28.6,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,10,,32.8,16.4,67,36,4.8,0,8,28.7,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,11,,34.2,17.7,64,37,5.1,0,7.5,31.2,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,12,,36,19,59,31,4,0,8.4,34.8,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,13,,36.5,19.5,57,28,0.8,0,8.3,38.4,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,14,,38,20.8,54,28,3.7,0,8.1,38,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,15,,39.4,22.1,50,23,2.1,0,8.3,40.5,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,16,,40.5,23.7,41,20,2.2,0,8.2,43.2,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,17,,41.4,25.1,40,20,0.1,0,7.9,48.5,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,18,,41.7,25.8,45,22,3.1,0,7.4,50.6,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,19,,41.6,26.5,41,21,6.6,0,7.4,50.2,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,20,,42.8,27.5,41,20,7.4,0,7,54.6,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,21,,42.5,27.8,39,20,4.5,0,6.9,53.1,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,22,,42.1,28.1,42,23,5.4,0,6.4,55.8,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,23,,41.2,27.9,42,25,13,0,6.2,49.5,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,24,,38.6,26.4,46,26,30.7,0,5.2,39.2,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,25,,35.7,25.9,47,28,56.8,0,3.2,29.5,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,26,,35.1,26.2,53,32,43.9,0,2.8,27.8,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,27,,33.9,25.8,61,40,44.2,0,3.1,26.7,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,28,,33.2,25.5,71,49,74.2,0,2.8,23.7,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,29,,32.2,25.4,78,57,67.2,0,2.7,21.3,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,30,,32.1,25.2,78,57,41.1,0,3,20.8,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,31,,32.2,25.2,80,61,47.1,0,3,19.9,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,32,0,31.8,25,81,64,49.2,0,3.1,18.7,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,33,1,31.8,24.9,83,69,63.8,0,2.7,19.3,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,34,1,31.6,24.7,84,69,64,0,3.7,18.1,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,35,0,31.8,24.3,83,67,53.1,0,3.4,19,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,36,0,31.7,24,86,69,37.4,0,4.3,18.9,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,37,0,32.2,23.7,86,70,34.3,0,4.7,20.1,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,38,1,33.1,23.6,87,70,16.4,0,5.8,20.9,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,39,1,33.5,23.2,84,66,22.5,0,6.5,21,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,40,1,33.4,22.4,83,61,21.8,0,6.7,20.1,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,41,2,33.5,21.1,79,54,11.4,0,6.2,20.1,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,42,3,32.9,19.3,82,51,6.9,0,6.4,20.3,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,43,7,32,17.2,79,47,7.4,0,6.2,19.4,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,44,5,31.3,16.4,80,47,2.2,0,6.1,20.2,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,45,9,31,15.4,80,43,3.2,0,6.7,19.9,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,46,6,30,15,77,40,0.3,0,6.2,18.6,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,47,15,29.2,13.1,75,37,2.6,0,6.5,17.6,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,48,15,28.5,12.1,73,35,2.6,0,7,16.9,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,49,25,27.7,10.9,74,36,1.8,0,7,17,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
1981,50,13,26.8,10.5,74,37,3.5,0,6.8,17.9,Nagpur,PinkBollworm-Adult ,Number/ Pheromone trap,PinkBollworm-Adult _Number/ Pheromone trap
